location,region,latitude_deg,longitude_deg,altitude_m,metadata_status,field_measurements_included
Siachen_Base_Camp,Ladakh/Karakoram,35.42,77.11,3600,REPRESENTATIVE_SCENARIO_SITE,False
Siachen_Glacier_High_Camp,Ladakh/Karakoram,35.45,77.05,4800,REPRESENTATIVE_SCENARIO_SITE,False
Daulat_Beg_Oldie,Ladakh/Karakoram,35.4,77.09,5065,REPRESENTATIVE_SCENARIO_SITE,False
Depsang_Plains,Ladakh/Karakoram,35.45,78.15,4920,REPRESENTATIVE_SCENARIO_SITE,False
Galwan_Valley,Ladakh,34.77,78.18,4350,REPRESENTATIVE_SCENARIO_SITE,False
Pangong_North,Ladakh,33.74,78.66,4250,REPRESENTATIVE_SCENARIO_SITE,False
Chushul,Ladakh,34.07,79.0,4350,REPRESENTATIVE_SCENARIO_SITE,False
Rezang_La,Ladakh,33.69,78.85,4850,REPRESENTATIVE_SCENARIO_SITE,False
Hanle,Ladakh,32.78,78.97,4500,REPRESENTATIVE_SCENARIO_SITE,False
Nyoma,Ladakh,32.96,78.7,4180,REPRESENTATIVE_SCENARIO_SITE,False
Kargil_Ridge,Ladakh,34.56,76.13,2670,REPRESENTATIVE_SCENARIO_SITE,False
Dras,Jammu_Kashmir,34.43,75.75,3280,REPRESENTATIVE_SCENARIO_SITE,False
Sonamarg,Jammu_Kashmir,34.3,75.29,2730,REPRESENTATIVE_SCENARIO_SITE,False
Gurez,Jammu_Kashmir,34.63,74.83,2400,REPRESENTATIVE_SCENARIO_SITE,False
Tangdhar,Jammu_Kashmir,34.39,74.27,2600,REPRESENTATIVE_SCENARIO_SITE,False
Machil,Jammu_Kashmir,34.5,74.1,2800,REPRESENTATIVE_SCENARIO_SITE,False
Keran,Jammu_Kashmir,34.58,74.0,1900,REPRESENTATIVE_SCENARIO_SITE,False
Himachal_High_Camp,Himachal_Pradesh,32.3,77.4,3500,REPRESENTATIVE_SCENARIO_SITE,False
Keylong,Himachal_Pradesh,32.57,77.02,3080,REPRESENTATIVE_SCENARIO_SITE,False
Kunzum_Pass,Himachal_Pradesh,32.36,77.63,4550,REPRESENTATIVE_SCENARIO_SITE,False
Rohtang_Pass,Himachal_Pradesh,32.37,77.25,3978,REPRESENTATIVE_SCENARIO_SITE,False
Spiti_Kaza,Himachal_Pradesh,32.22,78.07,3800,REPRESENTATIVE_SCENARIO_SITE,False
Baralacha_La,Himachal_Pradesh,32.75,77.43,4890,REPRESENTATIVE_SCENARIO_SITE,False
Mana_Pass,Uttarakhand,30.77,79.25,5630,REPRESENTATIVE_SCENARIO_SITE,False
Niti_Pass,Uttarakhand,30.88,79.85,5068,REPRESENTATIVE_SCENARIO_SITE,False
Munsiyari_High_Camp,Uttarakhand,30.07,80.24,2300,REPRESENTATIVE_SCENARIO_SITE,False
Auli_High_Camp,Uttarakhand,30.53,79.57,2800,REPRESENTATIVE_SCENARIO_SITE,False
Gunji,Uttarakhand,30.34,80.22,3500,REPRESENTATIVE_SCENARIO_SITE,False
Lipulekh_Approach,Uttarakhand,30.24,80.61,5000,REPRESENTATIVE_SCENARIO_SITE,False
Nathu_La,Sikkim,27.39,88.83,4310,REPRESENTATIVE_SCENARIO_SITE,False
Changu_Lake,Sikkim,27.37,88.76,3780,REPRESENTATIVE_SCENARIO_SITE,False
Gurudongmar,Sikkim,27.99,88.71,5148,REPRESENTATIVE_SCENARIO_SITE,False
North_Sikkim_High_Camp,Sikkim,27.85,88.7,4300,REPRESENTATIVE_SCENARIO_SITE,False
Tawang,Arunachal_Pradesh,27.59,91.86,3048,REPRESENTATIVE_SCENARIO_SITE,False
Bum_La,Arunachal_Pradesh,27.75,91.93,4630,REPRESENTATIVE_SCENARIO_SITE,False
Se_La,Arunachal_Pradesh,27.51,92.11,4170,REPRESENTATIVE_SCENARIO_SITE,False
Dirang_High_Camp,Arunachal_Pradesh,27.36,92.24,2500,REPRESENTATIVE_SCENARIO_SITE,False
Y_Junction_Scenario,Ladakh,35.3,77.9,4700,REPRESENTATIVE_SCENARIO_SITE,False
Karakoram_Pass_Scenario,Ladakh/Karakoram,35.53,77.82,5540,REPRESENTATIVE_SCENARIO_SITE,False
