simulation_id,location,altitude_m,latitude_deg,longitude_deg,length_m,width_m,height_m,floor_area_m2,volume_m3,orientation_deg,wall_material,wall_thickness_m,wall_insulation_material,wall_insulation_thickness_m,roof_material,roof_thickness_m,roof_insulation_material,roof_insulation_thickness_m,floor_material,floor_thickness_m,glazing_area_m2,glazing_ratio,glazing_type,window_orientation_deg,night_shutter,shutter_R_m2K_W,roof_emissivity,ach,occupants,internal_gain_W,heater_type,combustion_heater_present,capital_cost_inr,cost_basis,overall_U_value_W_m2K,overall_R_value_m2K_W,thermal_mass_J_K,air_pressure_Pa,air_density_kg_m3
SIM_000001,Leh,3500.0,34.1526,77.5771,9.8,4.7,2.5,46.06,115.15,194.5,rammed_earth,0.23,eps,0.075,cgi_sheet,0.002,rockwool,0.045,stone_floor,0.17,7.27,0.1003,triple_pane,180.0,0,0.0,0.66,4.39,9,900.0,flued_stove,False,202436.0,SOURCED,1.5359,0.6511,44344845.2,65764.1,0.8706
SIM_000002,Dras,3280.0,34.4293,75.7533,4.7,3.2,2.5,15.04,37.6,171.2,dense_concrete,0.25,none,0.0,pu_sandwich_panel,0.12,none,0.0,stone_floor,0.14,5.16,0.1306,triple_pane,180.0,0,0.0,0.54,1.43,5,500.0,none,False,157822.0,SOURCED,2.6238,0.3811,24354810.1,67647.9,0.8956
SIM_000003,Siachen,5400.0,35.4212,77.1095,9.1,3.7,2.5,33.67,84.18,22.9,mud_brick,0.32,none,0.0,pu_sandwich_panel,0.12,none,0.0,dense_concrete,0.13,8.92,0.1394,single_pane,180.0,0,0.0,0.63,1.27,12,1200.0,flued_stove,False,179033.0,SOURCED,2.189,0.4568,36718823.5,51194.2,0.6777
SIM_000004,Daulat Beg Oldie,5065.0,35.4057,77.9297,9.2,5.1,2.8,46.92,131.38,238.2,pu_sandwich_panel,0.1,none,0.0,concrete,0.11,none,0.0,dense_concrete,0.24,6.88,0.0859,single_pane,180.0,1,0.5,0.81,3.04,18,1800.0,flued_stove,False,280797.0,SOURCED,2.1925,0.4561,38274125.1,53552.3,0.709
SIM_000005,Galwan,4300.0,34.75,78.25,5.7,3.7,2.7,21.09,56.94,170.3,dense_concrete,0.27,eps,0.065,cgi_sheet,0.002,eps,0.026,dense_concrete,0.19,5.99,0.118,single_pane,180.0,1,0.5,0.78,2.29,6,600.0,flued_stove,False,188917.0,SOURCED,1.4124,0.708,37342367.7,59268.2,0.7846
SIM_000006,Hanle,4500.0,32.7784,78.9642,5.8,3.7,3.1,21.46,66.53,200.0,mud_brick,0.43,rockwool,0.101,concrete,0.11,rockwool,0.033,dense_concrete,0.22,6.87,0.1166,double_pane,180.0,0,0.0,0.64,3.49,2,200.0,flued_stove,False,202984.0,SOURCED,1.2433,0.8043,50049530.8,57728.3,0.7642
SIM_000007,Nyoma,4180.0,33.1958,78.6508,7.1,3.9,2.8,27.69,77.53,92.5,pu_sandwich_panel,0.06,none,0.0,pu_sandwich_panel,0.12,none,0.0,stone_floor,0.22,2.13,0.0346,triple_pane,180.0,1,0.5,0.45,2.96,7,700.0,flued_stove,False,175844.0,SOURCED,1.0966,0.9119,13393077.9,60207.9,0.7971
SIM_000008,Chushul,4350.0,33.5936,78.6543,5.3,3.0,3.2,15.9,50.88,217.5,dense_concrete,0.18,eps,0.036,cgi_sheet,0.002,eps,0.093,dense_concrete,0.13,4.25,0.08,triple_pane,180.0,1,0.5,0.24,0.29,3,300.0,none,False,156516.0,SOURCED,1.3508,0.7403,25258528.4,58880.1,0.7795
SIM_000009,Rezang La,5000.0,33.425,78.8472,8.2,3.3,2.7,27.06,73.06,179.6,stone_masonry,0.2,straw_bale,0.137,pu_sandwich_panel,0.09,none,0.0,dense_concrete,0.11,4.7,0.0757,single_pane,180.0,0,0.0,0.58,1.24,10,1000.0,electric,False,142073.0,SOURCED,1.5125,0.6612,31735785.8,54019.9,0.7151
SIM_000010,Pangong,4250.0,33.7595,78.6674,5.6,3.6,2.5,20.16,50.4,188.1,stone_masonry,0.22,straw_bale,0.063,concrete,0.16,rockwool,0.046,stone_floor,0.22,3.0,0.0652,triple_pane,180.0,0,0.0,0.82,2.26,7,700.0,none,False,134349.0,SOURCED,1.4672,0.6816,36528817.4,59658.3,0.7898
SIM_000011,Depsang,5330.0,35.3167,78.0167,9.4,3.1,2.8,29.14,81.59,150.0,mud_brick,0.29,eps,0.031,concrete,0.19,rockwool,0.065,stone_floor,0.16,2.32,0.0331,single_pane,180.0,0,0.0,0.63,3.51,8,800.0,none,False,170060.0,SOURCED,1.5103,0.6621,52209975.5,51679.8,0.6842
SIM_000012,Kargil,2676.0,34.5539,76.1349,7.9,4.5,2.5,35.55,88.88,198.7,rammed_earth,0.26,straw_bale,0.139,cgi_sheet,0.002,none,0.0,stone_floor,0.23,4.83,0.0779,double_pane,180.0,0,0.0,0.2,2.22,4,400.0,none,False,138728.0,SOURCED,2.7913,0.3583,46056626.9,73045.7,0.967
SIM_000013,Leh,3500.0,34.1526,77.5771,8.6,3.5,2.5,30.1,75.25,181.4,pu_sandwich_panel,0.05,none,0.0,pu_sandwich_panel,0.13,none,0.0,stone_floor,0.17,7.4,0.1223,single_pane,180.0,1,0.5,0.85,0.14,7,700.0,flued_stove,False,171368.0,SOURCED,1.3086,0.7642,11307274.6,65764.1,0.8706
SIM_000014,Dras,3280.0,34.4293,75.7533,4.7,3.7,2.8,17.39,48.69,318.2,pu_sandwich_panel,0.09,none,0.0,pu_sandwich_panel,0.08,none,0.0,stone_floor,0.19,0.18,0.0038,single_pane,180.0,1,0.5,0.61,4.09,3,300.0,flued_stove,False,116048.0,SOURCED,1.0121,0.988,7379118.6,67647.9,0.8956
SIM_000015,Siachen,5400.0,35.4212,77.1095,6.5,5.6,2.7,36.4,98.28,161.3,mud_brick,0.47,straw_bale,0.125,pu_sandwich_panel,0.11,none,0.0,dense_concrete,0.23,7.9,0.1209,double_pane,180.0,1,0.5,0.7,1.76,4,400.0,flued_stove,False,284356.0,SOURCED,1.1573,0.8641,61355617.6,51194.2,0.6777
SIM_000016,Daulat Beg Oldie,5065.0,35.4057,77.9297,5.9,5.7,3.1,33.63,104.25,10.1,dense_concrete,0.23,rockwool,0.074,cgi_sheet,0.002,none,0.0,stone_floor,0.14,2.22,0.0309,triple_pane,180.0,1,0.5,0.8,2.64,9,900.0,electric,False,239336.0,SOURCED,2.6636,0.3754,47410288.9,53552.3,0.709
SIM_000017,Galwan,4300.0,34.75,78.25,9.9,5.9,2.8,58.41,163.55,186.4,stone_masonry,0.37,eps,0.096,cgi_sheet,0.002,rockwool,0.093,dense_concrete,0.22,7.92,0.0895,triple_pane,180.0,0,0.0,0.39,0.97,18,1800.0,electric,False,409858.0,SOURCED,1.2618,0.7925,90702819.4,59268.2,0.7846
SIM_000018,Hanle,4500.0,32.7784,78.9642,6.7,3.3,2.4,22.11,53.06,164.3,dense_concrete,0.25,eps,0.076,pu_sandwich_panel,0.1,none,0.0,stone_floor,0.2,5.96,0.1242,single_pane,180.0,1,0.5,0.43,0.78,1,100.0,electric,False,202011.0,SOURCED,1.236,0.8091,33846148.6,57728.3,0.7642
SIM_000019,Nyoma,4180.0,33.1958,78.6508,6.9,4.4,3.1,30.36,94.12,344.6,dense_concrete,0.15,rockwool,0.113,cgi_sheet,0.002,none,0.0,dense_concrete,0.25,5.55,0.0792,single_pane,180.0,0,0.0,0.49,3.85,12,1200.0,none,False,220893.0,SOURCED,2.5019,0.3997,40309595.1,60207.9,0.7971
SIM_000020,Chushul,4350.0,33.5936,78.6543,8.7,5.0,2.9,43.5,126.15,174.6,rammed_earth,0.43,none,0.0,pu_sandwich_panel,0.12,none,0.0,stone_floor,0.14,5.42,0.0682,double_pane,180.0,1,0.5,0.3,3.9,16,1600.0,electric,False,239341.0,SOURCED,2.0427,0.4895,70639353.7,58880.1,0.7795
SIM_000021,Rezang La,5000.0,33.425,78.8472,9.5,5.9,2.9,56.05,162.55,168.5,rammed_earth,0.39,none,0.0,pu_sandwich_panel,0.12,none,0.0,dense_concrete,0.2,4.18,0.0468,double_pane,180.0,1,0.5,0.69,1.92,2,200.0,unflued_combustion,True,312845.0,SOURCED,1.9339,0.5171,86044760.1,54019.9,0.7151
SIM_000022,Pangong,4250.0,33.7595,78.6674,6.0,3.3,3.2,19.8,63.36,165.1,rammed_earth,0.31,rockwool,0.075,concrete,0.19,eps,0.082,stone_floor,0.24,3.59,0.0603,double_pane,180.0,0,0.0,0.79,3.85,3,300.0,flued_stove,False,160168.0,SOURCED,1.1081,0.9024,50235789.4,59658.3,0.7898
SIM_000023,Depsang,5330.0,35.3167,78.0167,7.0,5.7,2.6,39.9,103.74,209.2,stone_masonry,0.43,none,0.0,cgi_sheet,0.002,rockwool,0.042,stone_floor,0.11,2.52,0.0382,single_pane,180.0,0,0.0,0.77,1.99,5,500.0,none,False,187669.0,SOURCED,2.7208,0.3675,64828512.1,51679.8,0.6842
SIM_000024,Kargil,2676.0,34.5539,76.1349,7.1,5.5,3.0,39.05,117.15,208.2,dense_concrete,0.18,straw_bale,0.117,cgi_sheet,0.002,rockwool,0.131,stone_floor,0.13,5.07,0.0671,double_pane,180.0,1,0.5,0.63,4.34,8,800.0,unflued_combustion,True,237452.0,SOURCED,1.4259,0.7013,42233398.3,73045.7,0.967
SIM_000025,Leh,3500.0,34.1526,77.5771,8.9,5.2,2.9,46.28,134.21,138.9,rammed_earth,0.35,straw_bale,0.084,concrete,0.14,rockwool,0.071,stone_floor,0.2,9.67,0.1182,double_pane,180.0,0,0.0,0.52,1.17,1,100.0,none,False,252817.0,SOURCED,1.5145,0.6603,81449711.8,65764.1,0.8706
SIM_000026,Dras,3280.0,34.4293,75.7533,7.1,5.0,2.9,35.5,102.95,83.9,pu_sandwich_panel,0.09,none,0.0,pu_sandwich_panel,0.07,none,0.0,dense_concrete,0.17,0.61,0.0087,double_pane,180.0,1,0.5,0.25,2.35,8,800.0,unflued_combustion,True,198271.0,SOURCED,1.1535,0.8669,14462951.4,67647.9,0.8956
SIM_000027,Siachen,5400.0,35.4212,77.1095,6.2,4.7,3.1,29.14,90.33,188.1,dense_concrete,0.19,rockwool,0.1,pu_sandwich_panel,0.12,none,0.0,dense_concrete,0.15,6.21,0.0919,triple_pane,180.0,1,0.5,0.62,0.85,5,500.0,none,False,295736.0,SOURCED,1.1584,0.8633,37376783.2,51194.2,0.6777
SIM_000028,Daulat Beg Oldie,5065.0,35.4057,77.9297,5.3,5.8,2.5,30.74,76.85,161.2,stone_masonry,0.38,none,0.0,pu_sandwich_panel,0.12,none,0.0,stone_floor,0.11,3.02,0.0544,single_pane,180.0,0,0.0,0.41,1.15,12,1200.0,flued_stove,False,185209.0,SOURCED,2.6749,0.3738,47650681.6,53552.3,0.709
SIM_000029,Galwan,4300.0,34.75,78.25,7.6,4.5,3.0,34.2,102.6,345.5,rammed_earth,0.39,straw_bale,0.1,pu_sandwich_panel,0.12,none,0.0,stone_floor,0.12,6.57,0.0905,triple_pane,180.0,0,0.0,0.23,4.42,7,700.0,flued_stove,False,218126.0,SOURCED,1.4118,0.7083,56692182.7,59268.2,0.7846
SIM_000030,Hanle,4500.0,32.7784,78.9642,6.4,3.3,3.0,21.12,63.36,160.3,stone_masonry,0.43,straw_bale,0.095,concrete,0.12,eps,0.029,stone_floor,0.11,1.94,0.0333,double_pane,180.0,0,0.0,0.46,2.43,7,700.0,flued_stove,False,171134.0,SOURCED,1.5237,0.6563,60664940.3,57728.3,0.7642
SIM_000031,Nyoma,4180.0,33.1958,78.6508,5.5,3.8,2.8,20.9,58.52,193.3,pu_sandwich_panel,0.06,none,0.0,pu_sandwich_panel,0.06,none,0.0,stone_floor,0.18,5.14,0.0987,single_pane,180.0,1,0.5,0.56,1.83,5,500.0,flued_stove,False,112609.0,SOURCED,1.208,0.8278,8269069.8,60207.9,0.7971
SIM_000032,Chushul,4350.0,33.5936,78.6543,4.2,5.8,3.1,24.36,75.52,27.6,mud_brick,0.34,straw_bale,0.102,cgi_sheet,0.002,eps,0.093,stone_floor,0.1,0.84,0.0135,double_pane,180.0,0,0.0,0.7,1.97,3,300.0,none,False,118549.0,SOURCED,1.3709,0.7294,37840967.1,58880.1,0.7795
SIM_000033,Rezang La,5000.0,33.425,78.8472,10.0,3.2,2.7,32.0,86.4,253.2,rammed_earth,0.49,none,0.0,pu_sandwich_panel,0.08,none,0.0,dense_concrete,0.19,3.16,0.0443,single_pane,180.0,0,0.0,0.31,1.39,11,1100.0,electric,False,182333.0,SOURCED,1.9458,0.5139,74271297.3,54019.9,0.7151
SIM_000034,Pangong,4250.0,33.7595,78.6674,7.8,5.4,2.9,42.12,122.15,126.5,pu_sandwich_panel,0.12,none,0.0,concrete,0.13,rockwool,0.09,dense_concrete,0.21,2.29,0.0299,single_pane,180.0,1,0.5,0.76,2.34,13,1300.0,flued_stove,False,297612.0,SOURCED,1.1139,0.8977,33686732.7,59658.3,0.7898
SIM_000035,Depsang,5330.0,35.3167,78.0167,4.9,3.2,2.7,15.68,42.34,153.9,stone_masonry,0.5,eps,0.138,pu_sandwich_panel,0.1,none,0.0,dense_concrete,0.23,5.39,0.1232,single_pane,180.0,0,0.0,0.66,0.68,2,200.0,none,False,190715.0,SOURCED,1.2767,0.7833,47253668.1,51679.8,0.6842
