simulation_id,hour,outdoor_temperature_C,indoor_temperature_C,wall_conduction_W,roof_conduction_W,floor_conduction_W,glazing_conduction_W,infiltration_heat_loss_W,sky_longwave_loss_W,glazing_solar_gain_W,envelope_solar_gain_W,internal_gain_W,total_heat_loss_W,net_heat_balance_W,rate_of_stored_energy_change_W,energy_balance_error_W,energy_balance_error_pct
SIM_000001,0,-12.0,-7.51,54.7,221.8,29.7,45.7,556.3,0.0,0.0,0.0,900.0,908.2,-8.2,-8.2,0.0,0.0
SIM_000001,1,-13.81,-8.46,26.3,249.9,0.0,54.4,666.7,0.0,0.0,0.0,900.0,997.4,-97.4,-97.4,0.0,0.0
SIM_000001,2,-15.5,-9.5,4.4,271.3,0.0,61.0,752.7,0.0,0.0,0.0,900.0,1089.4,-189.4,-189.4,0.01,0.001
SIM_000001,3,-16.95,-10.55,0.0,284.2,0.0,65.1,807.1,0.0,0.0,0.0,900.0,1156.4,-256.4,-256.4,0.01,0.001
SIM_000001,4,-18.06,-11.55,0.0,287.8,0.0,66.3,825.5,0.0,0.0,0.0,900.0,1179.6,-279.6,-279.6,0.01,0.001
SIM_000001,5,-18.76,-12.41,0.0,282.0,0.0,64.6,806.5,0.0,0.0,0.0,900.0,1153.0,-253.0,-253.0,0.01,0.001
SIM_000001,6,-19.0,-13.1,0.0,267.1,0.0,60.1,750.8,0.0,0.0,0.0,900.0,1078.0,-178.0,-178.0,0.01,0.001
SIM_000001,7,-18.76,-13.55,0.0,244.1,1.6,53.0,661.9,0.0,0.0,0.0,900.0,960.6,-60.6,-60.6,0.0,0.0
SIM_000001,8,-18.06,-12.55,7.8,0.0,483.6,56.1,698.6,0.0,260.2,18518.6,900.0,1246.2,-86.0,-86.0,0.0,0.0
SIM_000001,9,-16.95,-11.82,46.7,0.0,791.7,52.3,648.0,0.0,561.8,20571.3,900.0,1538.7,-76.8,-76.9,0.0,0.0
SIM_000001,10,-15.5,-11.17,77.4,44.8,997.5,44.0,542.7,0.0,807.3,15920.0,900.0,1706.5,0.8,0.8,0.0,0.0
SIM_000001,11,-13.81,-10.45,104.4,144.6,1157.3,34.2,418.3,19.2,963.9,11068.6,900.0,1878.0,-14.1,-14.1,0.0,0.0
SIM_000001,12,-12.0,-9.49,133.6,115.5,1321.2,25.5,310.6,44.4,1016.2,11643.4,900.0,1950.9,-34.7,-34.7,0.0,0.0
SIM_000001,13,-10.19,-8.61,154.3,86.3,1396.0,16.0,193.9,65.4,959.5,11019.1,900.0,1911.9,-52.4,-52.4,0.0,0.0
SIM_000001,14,-8.5,-7.89,165.6,58.8,1378.3,6.2,74.7,58.8,798.7,9245.3,900.0,1742.3,-43.6,-43.6,0.0,0.0
SIM_000001,15,-7.05,-7.36,167.2,35.4,1273.1,0.0,0.0,35.4,550.7,7924.9,900.0,1511.1,-60.5,-60.4,0.0,0.0
SIM_000001,16,-5.94,-7.04,160.2,19.6,1096.9,0.0,0.0,19.6,247.7,5492.9,900.0,1296.2,-148.5,-148.5,0.01,0.001
SIM_000001,17,-5.24,-6.77,150.8,21.2,913.7,0.0,0.0,21.2,0.0,0.0,900.0,1107.0,-207.0,-207.0,0.01,0.001
SIM_000001,18,-5.0,-6.16,153.5,33.9,850.0,0.0,0.0,33.9,0.0,0.0,900.0,1071.2,-171.2,-171.2,0.01,0.001
SIM_000001,19,-5.24,-5.76,151.2,55.3,749.4,0.0,0.0,55.3,0.0,0.0,900.0,1011.1,-111.1,-111.1,0.0,0.0
SIM_000001,20,-5.94,-5.61,143.0,83.6,620.8,3.4,40.4,31.8,0.0,0.0,900.0,923.1,-23.1,-23.1,0.0,0.0
SIM_000001,21,-7.05,-5.72,128.4,116.9,474.2,13.6,162.0,4.3,0.0,0.0,900.0,899.5,0.5,0.5,0.0,0.0
SIM_000001,22,-8.5,-6.09,107.7,152.8,319.6,24.6,294.7,0.0,0.0,0.0,900.0,899.5,0.5,0.5,0.0,0.0
SIM_000001,23,-10.19,-6.7,82.5,188.7,167.8,35.5,429.4,0.0,0.0,0.0,900.0,903.9,-3.9,-3.9,0.0,0.0
SIM_000002,0,-28.0,-22.72,282.2,32.7,73.0,38.1,76.2,0.0,0.0,0.0,500.0,502.2,-2.2,-2.2,0.0,0.0
SIM_000002,1,-30.07,-23.14,209.0,35.9,108.0,50.1,100.8,0.0,0.0,0.0,500.0,503.7,-3.7,-3.7,0.0,0.0
SIM_000002,2,-32.0,-23.69,137.3,38.8,147.1,60.0,121.9,0.0,0.0,0.0,500.0,505.1,-5.1,-5.1,0.0,0.0
SIM_000002,3,-33.66,-24.35,72.7,41.2,187.4,67.3,137.6,0.0,0.0,0.0,500.0,506.2,-6.2,-6.2,0.0,0.0
SIM_000002,4,-34.93,-25.06,23.9,43.1,225.6,71.3,146.5,0.0,0.0,0.0,500.0,510.4,-10.4,-10.4,0.0,0.0
SIM_000002,5,-35.73,-25.8,3.1,44.1,258.9,71.7,148.0,0.0,0.0,0.0,500.0,525.8,-25.8,-25.8,0.0,0.0
SIM_000002,6,-36.0,-26.51,0.0,44.3,284.7,68.5,141.5,0.0,0.0,0.0,500.0,539.0,-39.0,-39.0,0.0,0.0
