candidate_id,simulation_id,orientation_deg,glazing_area_m2,wall_insulation_m,roof_insulation_m,night_shutter,roof_emissivity,wall_material,capital_cost_inr,minimum_indoor_temperature_C,average_indoor_temperature_C,comfort_hours,total_heat_loss_kWh,discomfort_hours,safety_status,is_pareto_optimal
CAND_00001,SIM_OPT_00001,210.0,8.0,0.075,0.2,1,0.3,stone_masonry,344990.0,-9.04,-2.38,0.0,47.83,24.0,SAFE,False
CAND_00002,SIM_OPT_00002,210.0,0.0,0.0,0.0,0,0.66,mud_brick,127182.0,-21.5,-15.5,0.0,289.49,24.0,SAFE,False
CAND_00003,SIM_OPT_00003,195.0,0.0,0.0,0.0,0,0.23,rammed_earth,125382.0,-21.5,-15.5,0.0,284.05,24.0,SAFE,False
CAND_00004,SIM_OPT_00004,150.0,6.0,0.05,0.075,1,0.52,stone_masonry,208968.0,-13.52,-7.59,0.0,72.98,24.0,SAFE,False
CAND_00005,SIM_OPT_00005,210.0,3.0,0.05,0.05,1,0.47,pu_sandwich_panel,214202.0,-14.48,-10.36,0.0,49.09,24.0,SAFE,False
CAND_00006,SIM_OPT_00006,150.0,2.0,0.025,0.0,1,0.39,rammed_earth,111905.0,-17.22,-13.23,0.0,137.77,24.0,SAFE,False
CAND_00007,SIM_OPT_00007,210.0,3.0,0.05,0.075,0,0.55,pu_sandwich_panel,197537.0,-18.18,-12.3,0.0,62.36,24.0,SAFE,False
CAND_00008,SIM_OPT_00008,210.0,3.0,0.025,0.025,1,0.25,mud_brick,150280.0,-16.24,-11.65,0.0,83.12,24.0,SAFE,False
CAND_00009,SIM_OPT_00009,180.0,3.0,0.0,0.0,0,0.38,stone_masonry,107630.0,-21.32,-14.52,0.0,271.55,24.0,SAFE,False
CAND_00010,SIM_OPT_00010,128.8,3.0,0.05,0.1,0,0.2,dense_concrete,215096.0,-19.36,-13.48,0.0,83.34,24.0,SAFE,False
CAND_00011,SIM_OPT_00011,165.0,6.0,0.075,0.05,1,0.24,pu_sandwich_panel,206171.0,-8.94,-3.48,0.0,39.49,24.0,SAFE,False
CAND_00012,SIM_OPT_00012,241.2,3.0,0.05,0.1,1,0.54,pu_sandwich_panel,181001.0,-15.92,-11.79,0.0,56.84,24.0,SAFE,False
CAND_00013,SIM_OPT_00013,165.0,3.0,0.025,0.1,1,0.24,dense_concrete,217989.0,-15.68,-11.09,0.0,69.03,24.0,SAFE,False
