simulation_id,heater_type,combustion_heater_present,ach,safety_threshold_ach,safety_status,safety_reason
SIM_000001,flued_stove,False,4.39,0.35,SAFE,
SIM_000002,none,False,1.43,0.35,SAFE,
SIM_000003,flued_stove,False,1.27,0.35,SAFE,
SIM_000004,flued_stove,False,3.04,0.35,SAFE,
SIM_000005,flued_stove,False,2.29,0.35,SAFE,
SIM_000006,flued_stove,False,3.49,0.35,SAFE,
SIM_000007,flued_stove,False,2.96,0.35,SAFE,
SIM_000008,none,False,0.29,0.35,SAFE,
SIM_000009,electric,False,1.24,0.35,SAFE,
SIM_000010,none,False,2.26,0.35,SAFE,
SIM_000011,none,False,3.51,0.35,SAFE,
SIM_000012,none,False,2.22,0.35,SAFE,
SIM_000013,flued_stove,False,0.14,0.35,SAFE,
SIM_000014,flued_stove,False,4.09,0.35,SAFE,
SIM_000015,flued_stove,False,1.76,0.35,SAFE,
SIM_000016,electric,False,2.64,0.35,SAFE,
SIM_000017,electric,False,0.97,0.35,SAFE,
SIM_000018,electric,False,0.78,0.35,SAFE,
SIM_000019,none,False,3.85,0.35,SAFE,
SIM_000020,electric,False,3.9,0.35,SAFE,
SIM_000021,unflued_combustion,True,1.92,0.35,SAFE,
SIM_000022,flued_stove,False,3.85,0.35,SAFE,
SIM_000023,none,False,1.99,0.35,SAFE,
SIM_000024,unflued_combustion,True,4.34,0.35,SAFE,
SIM_000025,none,False,1.17,0.35,SAFE,
SIM_000026,unflued_combustion,True,2.35,0.35,SAFE,
SIM_000027,none,False,0.85,0.35,SAFE,
SIM_000028,flued_stove,False,1.15,0.35,SAFE,
SIM_000029,flued_stove,False,4.42,0.35,SAFE,
SIM_000030,flued_stove,False,2.43,0.35,SAFE,
SIM_000031,flued_stove,False,1.83,0.35,SAFE,
SIM_000032,none,False,1.97,0.35,SAFE,
SIM_000033,electric,False,1.39,0.35,SAFE,
SIM_000034,flued_stove,False,2.34,0.35,SAFE,
SIM_000035,none,False,0.68,0.35,SAFE,
SIM_000036,flued_stove,False,4.31,0.35,SAFE,
SIM_000037,flued_stove,False,4.29,0.35,SAFE,
