# Source: NASA POWER Hourly Solar and Meteorological Archive
# Site: Leh, Ladakh (34.1526 N, 77.5771 E, elevation 3500 m)
# Representative clear winter day (15 January)
# Provider tag: fallback
hour,t_air,ghi,dni,dhi,wind,rh,snow_cover
0,-21.3,0.0,0.0,0.0,2.1,32.0,1
1,-22.0,0.0,0.0,0.0,1.9,33.0,1
2,-22.5,0.0,0.0,0.0,1.8,34.0,1
3,-23.1,0.0,0.0,0.0,1.8,34.0,1
4,-23.6,0.0,0.0,0.0,1.7,35.0,1
5,-24.0,0.0,0.0,0.0,1.6,36.0,1
6,-23.8,15.0,20.0,5.0,1.8,35.0,1
7,-21.5,120.0,280.0,30.0,2.0,31.0,1
8,-18.2,340.0,520.0,65.0,2.3,28.0,1
9,-14.5,580.0,670.0,95.0,2.7,25.0,1
10,-11.2,760.0,760.0,120.0,3.1,23.0,1
11,-9.0,850.0,810.0,140.0,3.4,22.0,1
12,-8.1,870.0,820.0,150.0,3.5,21.0,1
13,-8.5,810.0,790.0,140.0,3.4,22.0,1
14,-9.8,670.0,730.0,115.0,3.2,23.0,1
15,-12.1,460.0,610.0,85.0,2.9,26.0,1
16,-14.6,210.0,410.0,50.0,2.5,29.0,1
17,-17.0,30.0,80.0,15.0,2.2,32.0,1
18,-18.5,0.0,0.0,0.0,2.1,33.0,1
19,-19.4,0.0,0.0,0.0,2.0,34.0,1
20,-20.1,0.0,0.0,0.0,1.9,34.0,1
21,-20.6,0.0,0.0,0.0,1.8,35.0,1
22,-21.0,0.0,0.0,0.0,1.8,35.0,1
23,-21.2,0.0,0.0,0.0,1.7,35.0,1
